Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,11,250,75,2,2.2800
3,,,13,330,70,3,2.0100
4,,,14,380,65,4,1.7900
5,,,15,430,60,5,1.5700
6,,,14,530,50,6,1.1900
7,,,16,560,48,7,1.1800
8,,,18,590,46,8,1.1700
9,,,20,620,44,9,1.1600
10,,,22,650,42,10,1.1500
11,,,24,680,40,11,1.1400
12,,,26,710,38,12,1.1300
13,,,28,740,36,13,1.1200
14,,,30,770,34,14,1.1100
15,,,32,800,32,15,1.1000
16,,,34,830,30,16,1.0900
17,,,36,860,28,17,1.0800
18,,,38,890,26,18,1.0700
19,,,40,920,24,19,1.0600
20,,,42,950,22,20,1.0500
21,,,44,980,20,21,1.0400
