Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,14,310,73,3,2.1000
4,,,16,340,71,4,1.9700
5,,,15,440,61,5,1.5900
6,,,17,520,56,6,1.3200
7,,,19,550,54,7,1.1900
8,,,18,650,44,8,1.1700
9,,,20,680,42,9,1.1600
10,,,22,710,40,10,1.1500
11,,,24,740,38,11,1.1400
12,,,26,770,36,12,1.1300
13,,,28,800,34,13,1.1200
14,,,30,830,32,14,1.1100
15,,,32,860,30,15,1.1000
16,,,34,890,28,16,1.0900
17,,,36,920,26,17,1.0800
18,,,38,950,24,18,1.0700
19,,,40,980,22,19,1.0600
