Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,2,30,-2,1,3.4900
2,,,12,230,78,2,2.3700
3,,,13,280,73,3,2.1500
4,,,15,360,68,4,1.8800
5,,,16,410,63,5,1.6600
6,,,15,510,53,6,1.2800
7,,,17,590,48,7,1.1300
8,,,19,620,46,8,1.1200
9,,,21,650,44,9,1.1100
10,,,23,680,42,10,1.1000
11,,,25,710,40,11,1.0900
12,,,27,740,38,12,1.0800
13,,,29,770,36,13,1.0700
14,,,31,800,34,14,1.0600
15,,,33,830,32,15,1.0500
16,,,35,860,30,16,1.0400
17,,,37,890,28,17,1.0300
18,,,39,920,26,18,1.0200
19,,,41,950,24,19,1.0100
20,,,43,980,22,20,1.0000
