Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,280,75,2,2.2300
3,,,14,310,73,3,2.1000
4,,,17,460,53,4,1.2900
5,,,18,510,48,5,1.1900
6,,,20,540,46,6,1.1800
7,,,22,570,44,7,1.1700
8,,,24,600,42,8,1.1600
9,,,26,630,40,9,1.1500
10,,,28,660,38,10,1.1400
11,,,30,690,36,11,1.1300
12,,,32,720,34,12,1.1200
13,,,34,750,32,13,1.1100
14,,,36,780,30,14,1.1000
15,,,38,810,28,15,1.0900
16,,,40,840,26,16,1.0800
17,,,42,870,24,17,1.0700
18,,,44,900,22,18,1.0600
19,,,46,930,20,19,1.0500
20,,,48,960,18,20,1.0400
21,,,50,990,16,21,1.0300
