Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,9,300,70,2,2.1200
3,,,8,400,60,3,1.7400
4,,,9,450,55,4,1.5200
5,,,11,480,53,5,1.3900
6,,,13,560,48,6,1.2400
7,,,15,590,46,7,1.2300
8,,,17,620,44,8,1.2200
9,,,19,650,42,9,1.2100
10,,,21,680,40,10,1.2000
11,,,23,710,38,11,1.1900
12,,,25,740,36,12,1.1800
13,,,27,770,34,13,1.1700
14,,,29,800,32,14,1.1600
15,,,31,830,30,15,1.1500
16,,,33,860,28,16,1.1400
17,,,35,890,26,17,1.1300
18,,,37,920,24,18,1.1200
19,,,39,950,22,19,1.1100
20,,,41,980,20,20,1.1000
