Step,Zone,Building,Total_Co2,Total_Cost,Total_Energy,Count,Weighted_Error
1,,,10,200,80,1,2.5000
2,,,12,230,78,2,2.3700
3,,,14,310,73,3,2.1000
4,,,16,340,71,4,1.9700
5,,,19,490,51,5,1.1600
6,,,21,520,49,6,1.0900
7,,,23,550,47,7,1.0800
8,,,25,580,45,8,1.0700
9,,,27,610,43,9,1.0600
10,,,29,640,41,10,1.0500
11,,,31,670,39,11,1.0400
12,,,33,700,37,12,1.0300
13,,,35,730,35,13,1.0200
14,,,37,760,33,14,1.0100
15,,,39,790,31,15,1.0000
16,,,41,820,29,16,0.9900
17,,,43,850,27,17,0.9800
18,,,45,880,25,18,0.9700
19,,,47,910,23,19,0.9600
20,,,49,940,21,20,0.9500
